epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5761,2.30726,4.3489,1.29239,0.0389,0.1178,0.05014,0.02822,2.21949,3.62319,1.14098,0.00019564,0.00019564,0.00019564
2,148.777,2.34866,3.66948,1.18887,0.69189,0.07001,0.06588,0.03448,2.25292,3.03894,1.13236,0.000389055,0.000389055,0.000389055
3,211.941,2.36169,3.40665,1.18129,0.47004,0.09152,0.08149,0.04156,2.20922,2.59629,1.12466,0.000579883,0.000579883,0.000579883
4,284.41,2.29624,2.98116,1.16234,0.3301,0.13562,0.09249,0.04879,2.14705,2.36181,1.10725,0.000576358,0.000576358,0.000576358
5,349.683,2.30488,2.74663,1.16151,0.23291,0.16159,0.10994,0.06072,2.06614,2.21942,1.09059,0.000572477,0.000572477,0.000572477
6,414.213,2.27969,2.59714,1.14532,0.19846,0.1776,0.12271,0.07284,2.03325,2.14319,1.08919,0.000568596,0.000568596,0.000568596
7,476.454,2.16279,2.49378,1.12763,0.10023,0.18695,0.12798,0.07626,2.02638,2.07479,1.07867,0.000564715,0.000564715,0.000564715
8,539.721,2.19724,2.48185,1.12947,0.13385,0.21218,0.1515,0.09064,2.0164,2.07643,1.08492,0.000560834,0.000560834,0.000560834
9,602.339,2.14414,2.30691,1.11045,0.27122,0.20925,0.15743,0.09729,2.00653,2.01744,1.09291,0.000556954,0.000556954,0.000556954
10,664.724,2.14572,2.40008,1.10588,0.28704,0.22473,0.1796,0.11112,2.02125,1.98507,1.07462,0.000553073,0.000553073,0.000553073
11,727.705,2.1098,2.24955,1.0973,0.27353,0.24123,0.19286,0.12034,1.96844,1.90676,1.06875,0.000549192,0.000549192,0.000549192
12,787.647,2.09325,2.21849,1.09751,0.31947,0.25638,0.20816,0.12718,1.95633,1.8945,1.07311,0.000545311,0.000545311,0.000545311
13,847.046,2.09042,2.09638,1.0993,0.32815,0.25862,0.21342,0.13033,1.99599,1.88711,1.07305,0.00054143,0.00054143,0.00054143
14,906.34,2.0645,2.04787,1.08833,0.32844,0.26658,0.22916,0.14491,1.91782,1.81369,1.06005,0.00053755,0.00053755,0.00053755
15,965.758,2.01751,2.15008,1.0667,0.41836,0.28566,0.22868,0.14383,1.92389,1.83682,1.07704,0.000533669,0.000533669,0.000533669
16,1027.05,2.06623,2.01213,1.08036,0.32969,0.28479,0.2406,0.1513,1.90631,1.78295,1.05366,0.000529788,0.000529788,0.000529788
17,1088.86,1.99394,1.98154,1.0774,0.48506,0.28312,0.24247,0.14776,1.88707,1.78215,1.05744,0.000525907,0.000525907,0.000525907
18,1149.34,2.00021,1.95381,1.06501,0.28271,0.26784,0.24935,0.15449,1.89108,1.74369,1.06982,0.000522026,0.000522026,0.000522026
19,1210.49,2.01269,1.94555,1.06665,0.61464,0.28773,0.26534,0.16264,1.88061,1.74468,1.06748,0.000518146,0.000518146,0.000518146
20,1270.96,1.99311,1.87219,1.06381,0.3817,0.29383,0.28484,0.17577,1.89856,1.70198,1.05208,0.000514265,0.000514265,0.000514265
21,1331.08,1.96491,1.85059,1.05704,0.49296,0.31674,0.27326,0.16802,1.8458,1.77499,1.05337,0.000510384,0.000510384,0.000510384
22,1391.96,1.95232,1.83313,1.05635,0.47817,0.29666,0.3118,0.19857,1.84481,1.65344,1.04951,0.000506503,0.000506503,0.000506503
23,1452.62,1.97826,1.80928,1.05931,0.53116,0.32609,0.30567,0.19099,1.85341,1.69336,1.05119,0.000502622,0.000502622,0.000502622
24,1513.51,1.98424,1.80887,1.04788,0.33711,0.37485,0.31878,0.2034,1.83486,1.64816,1.03926,0.000498742,0.000498742,0.000498742
25,1574.13,1.94273,1.77185,1.04456,0.55466,0.34362,0.33395,0.21136,1.87155,1.63005,1.03879,0.000494861,0.000494861,0.000494861
26,1635.34,1.93535,1.78199,1.05014,0.36306,0.35259,0.31987,0.20417,1.81596,1.66047,1.04095,0.00049098,0.00049098,0.00049098
27,1694.92,1.9357,1.76824,1.04715,0.60349,0.33542,0.32667,0.21149,1.81144,1.63991,1.03602,0.000487099,0.000487099,0.000487099
28,1755.67,1.92652,1.72284,1.04005,0.56007,0.34299,0.32677,0.2113,1.81988,1.60111,1.04527,0.000483218,0.000483218,0.000483218
29,1817.01,1.92276,1.70432,1.04082,0.56366,0.35855,0.34706,0.22062,1.81846,1.63499,1.04198,0.000479338,0.000479338,0.000479338
30,1878.47,1.90672,1.68755,1.04482,0.61348,0.32903,0.35342,0.2237,1.79567,1.62453,1.02919,0.000475457,0.000475457,0.000475457
