epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.6061,2.31471,4.40666,1.28727,0.45825,0.05202,0.05454,0.03034,2.24341,3.56248,1.12629,0.00019564,0.00019564,0.00019564
2,125.351,2.37511,3.59231,1.17707,0.61533,0.08142,0.06894,0.03628,2.21734,2.95569,1.1149,0.000391597,0.000391597,0.000391597
3,185.305,2.36515,3.88369,1.15679,0.46998,0.08361,0.07736,0.03916,2.24031,2.78365,1.11853,0.000587385,0.000587385,0.000587385
4,247.361,2.30091,2.85021,1.15992,0.63249,0.10134,0.08745,0.04564,2.13508,2.33296,1.09618,0.000587426,0.000587426,0.000587426
5,308.464,2.25434,2.70766,1.1532,0.07482,0.18387,0.10872,0.0605,2.09012,2.24835,1.10217,0.000586979,0.000586979,0.000586979
6,371.827,2.2339,2.51443,1.13576,0.08487,0.20147,0.12277,0.07008,2.04132,2.16179,1.08484,0.000586406,0.000586406,0.000586406
7,434.806,2.18264,2.4241,1.11787,0.12818,0.17512,0.12648,0.07117,2.06644,2.08906,1.09976,0.000585705,0.000585705,0.000585705
8,497.554,2.18511,2.30126,1.11542,0.22871,0.19994,0.145,0.08671,2.00519,2.02574,1.08597,0.000584878,0.000584878,0.000584878
9,560.117,2.13181,2.32394,1.09241,0.20486,0.25311,0.1543,0.09175,2.00052,1.97878,1.08428,0.000583924,0.000583924,0.000583924
10,621.196,2.13748,2.2417,1.11356,0.25289,0.21597,0.16481,0.09439,1.99741,1.97835,1.07358,0.000582845,0.000582845,0.000582845
11,684.254,2.08732,2.3759,1.09375,0.27976,0.23637,0.17853,0.10415,1.97959,1.92225,1.07066,0.00058164,0.00058164,0.00058164
12,746.543,2.08994,2.0929,1.10066,0.34504,0.24399,0.17632,0.10551,1.9568,1.90481,1.07504,0.00058031,0.00058031,0.00058031
13,808.145,2.09571,2.14646,1.09284,0.30468,0.24434,0.19184,0.11163,2.00775,1.92035,1.08106,0.000578856,0.000578856,0.000578856
14,870.057,2.05387,2.04725,1.08848,0.42034,0.23416,0.21636,0.13442,1.92771,1.87142,1.07441,0.000577278,0.000577278,0.000577278
15,930.745,2.01076,2.08775,1.07807,0.34465,0.25101,0.2222,0.13529,1.91545,1.82236,1.06349,0.000575577,0.000575577,0.000575577
16,992.016,2.01593,1.9652,1.07378,0.32877,0.28297,0.23921,0.14928,1.89329,1.75408,1.07203,0.000573755,0.000573755,0.000573755
17,1054.7,2.00545,1.93748,1.0779,0.63453,0.24352,0.27057,0.17036,1.88386,1.73915,1.06334,0.00057181,0.00057181,0.00057181
18,1116.25,2.02392,1.94957,1.07458,0.46978,0.26743,0.25314,0.15833,1.91812,1.78707,1.07375,0.000569745,0.000569745,0.000569745
19,1177.85,2.01227,1.92208,1.07189,0.61777,0.22401,0.26861,0.16853,1.90441,1.73454,1.06031,0.000567561,0.000567561,0.000567561
20,1238.73,1.99385,1.87735,1.0664,0.70204,0.24297,0.27914,0.15867,1.95671,1.74572,1.06243,0.000565257,0.000565257,0.000565257
21,1299.81,1.9826,1.87711,1.06092,0.47292,0.27185,0.28332,0.175,1.88642,1.70372,1.04536,0.000562837,0.000562837,0.000562837
22,1361.15,2.00268,1.86771,1.05964,0.52932,0.29643,0.29223,0.18575,1.86963,1.66386,1.05036,0.000560299,0.000560299,0.000560299
23,1422.93,1.96681,1.86336,1.06794,0.46326,0.30194,0.29244,0.18353,1.87157,1.68174,1.06754,0.000557646,0.000557646,0.000557646
24,1486.26,1.96231,1.84897,1.05496,0.51408,0.32231,0.28563,0.18234,1.85124,1.69215,1.05744,0.000554878,0.000554878,0.000554878
25,1547.7,1.9358,1.79345,1.05197,0.44272,0.36205,0.30259,0.1885,1.8276,1.62242,1.0409,0.000551998,0.000551998,0.000551998
26,1607.88,1.95063,1.7793,1.05354,0.57692,0.33937,0.33268,0.20829,1.81385,1.6145,1.04095,0.000549005,0.000549005,0.000549005
27,1668.55,1.91619,1.73005,1.04864,0.54465,0.30547,0.3202,0.20455,1.83032,1.60533,1.03699,0.000545902,0.000545902,0.000545902
28,1730.03,1.96384,1.78202,1.05351,0.56787,0.286,0.33236,0.20738,1.85928,1.66189,1.03809,0.00054269,0.00054269,0.00054269
29,1791.75,1.90595,1.72592,1.04231,0.49691,0.36508,0.33858,0.2143,1.82465,1.65925,1.03448,0.00053937,0.00053937,0.00053937
30,1853.07,1.90064,1.69864,1.03566,0.52194,0.33011,0.34792,0.22095,1.80151,1.60729,1.02655,0.000535944,0.000535944,0.000535944
31,1914.38,1.9065,1.64947,1.03158,0.52361,0.34329,0.34947,0.22116,1.81506,1.57497,1.03635,0.000532412,0.000532412,0.000532412
32,1975.12,1.90004,1.65141,1.03766,0.33391,0.39262,0.35198,0.22551,1.79534,1.57768,1.01864,0.000528778,0.000528778,0.000528778
33,2035.68,1.88597,1.68314,1.03335,0.63669,0.3299,0.36213,0.23461,1.7842,1.5594,1.02052,0.000525042,0.000525042,0.000525042
34,2095.71,1.86425,1.6929,1.04098,0.61953,0.36305,0.36654,0.23639,1.80926,1.57111,1.03458,0.000521206,0.000521206,0.000521206
35,2157.56,1.88169,1.66382,1.02902,0.50936,0.38209,0.36322,0.23691,1.78896,1.55983,1.02015,0.000517271,0.000517271,0.000517271
36,2220.24,1.85834,1.61052,1.02447,0.63277,0.35188,0.36892,0.23686,1.77866,1.55247,1.02712,0.00051324,0.00051324,0.00051324
37,2281.73,1.86111,1.6316,1.01415,0.45028,0.37541,0.37647,0.23839,1.89335,1.55982,1.04132,0.000509114,0.000509114,0.000509114
38,2343.09,1.86198,1.60851,1.02658,0.67449,0.35235,0.38798,0.24829,1.82351,1.52614,1.03518,0.000504894,0.000504894,0.000504894
39,2404.02,1.87482,1.5705,1.02851,0.68226,0.3346,0.38158,0.23406,1.76453,1.53719,1.01759,0.000500584,0.000500584,0.000500584
40,2464.99,1.83194,1.54372,1.0123,0.46508,0.40467,0.39146,0.24846,1.77397,1.52466,1.02137,0.000496184,0.000496184,0.000496184
41,2524.56,1.82746,1.52245,1.02318,0.56178,0.35983,0.39208,0.25267,1.78241,1.53786,1.02249,0.000491697,0.000491697,0.000491697
42,2586.08,1.83659,1.53873,1.01712,0.43218,0.40817,0.40035,0.25937,1.78626,1.49307,1.02176,0.000487125,0.000487125,0.000487125
43,2647.14,1.85501,1.54029,1.01376,0.57688,0.37077,0.39895,0.2592,1.7988,1.49279,1.02273,0.000482469,0.000482469,0.000482469
44,2707.82,1.8235,1.50454,1.00893,0.51032,0.37898,0.40206,0.2604,1.76282,1.49116,1.01765,0.000477731,0.000477731,0.000477731
45,2768.48,1.80162,1.5063,1.01114,0.38955,0.43002,0.38511,0.24484,1.75849,1.51933,1.01679,0.000472915,0.000472915,0.000472915
46,2829.47,1.81492,1.54109,1.00158,0.52695,0.41459,0.41939,0.27069,1.75565,1.47344,1.01601,0.000468021,0.000468021,0.000468021
47,2889.36,1.79379,1.50881,1.0055,0.46833,0.40042,0.3958,0.25275,1.77734,1.4915,1.0216,0.000463052,0.000463052,0.000463052
48,2949.37,1.77644,1.4928,1.01075,0.48181,0.40262,0.39808,0.25962,1.77454,1.4749,1.01711,0.00045801,0.00045801,0.00045801
49,3009.43,1.78765,1.48844,1.0079,0.47346,0.39915,0.40136,0.25618,1.72996,1.47165,1.01067,0.000452898,0.000452898,0.000452898
50,3069.64,1.82077,1.51215,1.00969,0.59163,0.39054,0.4261,0.27736,1.7758,1.48671,1.02159,0.000447717,0.000447717,0.000447717
51,3129.97,1.77455,1.43061,0.99589,0.4618,0.41852,0.41209,0.26759,1.74258,1.45567,1.0126,0.00044247,0.00044247,0.00044247
52,3190.85,1.79125,1.45746,1.0044,0.47995,0.42308,0.41231,0.26284,1.74197,1.45859,1.01402,0.000437159,0.000437159,0.000437159
53,3251.31,1.80727,1.44242,1.00071,0.45116,0.43873,0.42351,0.27839,1.7188,1.44267,1.00601,0.000431787,0.000431787,0.000431787
54,3311.57,1.77417,1.43241,0.99605,0.45238,0.42245,0.4077,0.2681,1.71828,1.434,1.00719,0.000426356,0.000426356,0.000426356
55,3371.58,1.79541,1.4218,1.00426,0.41548,0.44201,0.43021,0.28349,1.73748,1.40781,1.00906,0.000420867,0.000420867,0.000420867
56,3430.9,1.77015,1.42322,0.997,0.52793,0.42387,0.42981,0.28433,1.73506,1.44766,1.00967,0.000415325,0.000415325,0.000415325
57,3491.91,1.79025,1.41061,1.0084,0.44994,0.41766,0.41265,0.2704,1.75231,1.44373,1.01446,0.00040973,0.00040973,0.00040973
58,3553.09,1.78687,1.4092,1.00383,0.52103,0.39895,0.41609,0.27498,1.70776,1.43823,1.00165,0.000404086,0.000404086,0.000404086
59,3613.69,1.78295,1.38698,0.99606,0.50647,0.43982,0.44785,0.29437,1.7148,1.40931,1.00225,0.000398395,0.000398395,0.000398395
60,3674.11,1.7407,1.38146,0.99044,0.6117,0.40936,0.4509,0.29586,1.75324,1.40712,1.01227,0.00039266,0.00039266,0.00039266
61,3734.54,1.75821,1.38222,0.98739,0.47877,0.43021,0.43879,0.29642,1.71199,1.38455,0.9999,0.000386882,0.000386882,0.000386882
62,3794.25,1.71917,1.331,0.99003,0.49821,0.4489,0.44832,0.29195,1.71595,1.38302,1.00047,0.000381066,0.000381066,0.000381066
63,3853.25,1.71821,1.33822,0.98794,0.49172,0.45596,0.46357,0.29914,1.71178,1.38406,1.00256,0.000375212,0.000375212,0.000375212
64,3914.23,1.72643,1.37081,0.9844,0.48248,0.43002,0.43339,0.27959,1.74329,1.39391,1.00774,0.000369324,0.000369324,0.000369324
65,3974.69,1.74401,1.35372,0.9928,0.59244,0.40692,0.44093,0.29215,1.72155,1.38435,1.00914,0.000363404,0.000363404,0.000363404
66,4037.36,1.74655,1.35186,0.9888,0.524,0.41812,0.43869,0.29445,1.70944,1.39159,1.00509,0.000357455,0.000357455,0.000357455
67,4111.8,1.71549,1.32833,0.98869,0.45825,0.46668,0.45996,0.30708,1.70079,1.35717,0.99824,0.000351479,0.000351479,0.000351479
68,4171.92,1.74062,1.31659,0.9818,0.50363,0.45445,0.45399,0.29846,1.75848,1.37035,1.00764,0.00034548,0.00034548,0.00034548
69,4231.75,1.73795,1.32437,0.98417,0.51701,0.45596,0.45758,0.30606,1.68457,1.33954,0.99436,0.000339459,0.000339459,0.000339459
70,4291.76,1.7382,1.30219,0.98579,0.52043,0.45884,0.46083,0.29254,1.75106,1.37812,1.01068,0.000333419,0.000333419,0.000333419
71,4354.55,1.73019,1.31552,0.98643,0.54199,0.45499,0.47562,0.31455,1.68955,1.32825,0.99716,0.000327364,0.000327364,0.000327364
72,4428.97,1.69807,1.28871,0.98947,0.57356,0.44021,0.47594,0.31678,1.68351,1.33576,0.99695,0.000321295,0.000321295,0.000321295
73,4494.33,1.68971,1.29049,0.97698,0.51516,0.46232,0.47323,0.32062,1.66219,1.35341,0.99489,0.000315216,0.000315216,0.000315216
74,4563.53,1.68552,1.26834,0.97447,0.56395,0.46327,0.48925,0.32963,1.68705,1.32351,0.99466,0.000309128,0.000309128,0.000309128
75,4642.67,1.69763,1.27899,0.98398,0.55201,0.45464,0.48692,0.32872,1.68047,1.32382,0.99454,0.000303036,0.000303036,0.000303036
76,4703.31,1.68357,1.27386,0.97001,0.51785,0.46778,0.47744,0.32348,1.67495,1.30164,0.99361,0.00029694,0.00029694,0.00029694
77,4764.01,1.70054,1.27985,0.97418,0.53627,0.46573,0.47272,0.31783,1.6639,1.31399,0.99146,0.000290844,0.000290844,0.000290844
78,4827.13,1.68874,1.26402,0.97432,0.52813,0.46573,0.47664,0.31967,1.66235,1.31236,0.9898,0.000284752,0.000284752,0.000284752
79,4888.49,1.68143,1.24948,0.97711,0.5377,0.45337,0.47061,0.31991,1.66546,1.32811,0.9923,0.000278664,0.000278664,0.000278664
80,4950.34,1.67907,1.2686,0.96517,0.57919,0.47642,0.50788,0.33859,1.6803,1.28458,0.99306,0.000272585,0.000272585,0.000272585
81,5011.22,1.65044,1.24023,0.96402,0.55587,0.46606,0.48303,0.32132,1.68044,1.30937,0.99503,0.000266516,0.000266516,0.000266516
82,5072.82,1.67191,1.24918,0.97073,0.56501,0.4793,0.4892,0.3341,1.64174,1.29077,0.98696,0.000260461,0.000260461,0.000260461
83,5133.29,1.67004,1.2618,0.9697,0.55439,0.49485,0.49581,0.3424,1.63648,1.27495,0.9873,0.000254421,0.000254421,0.000254421
84,5193.63,1.65435,1.22677,0.96598,0.54627,0.48506,0.48991,0.33321,1.67084,1.29595,0.99126,0.0002484,0.0002484,0.0002484
85,5254.4,1.6651,1.23763,0.96598,0.54539,0.48636,0.50189,0.34323,1.65761,1.29514,0.98995,0.000242401,0.000242401,0.000242401
86,5315.76,1.68621,1.22671,0.96775,0.58097,0.48967,0.51638,0.35608,1.64622,1.27105,0.98694,0.000236425,0.000236425,0.000236425
87,5377.11,1.65682,1.21029,0.96815,0.58917,0.48604,0.50569,0.34154,1.65538,1.295,0.99081,0.000230476,0.000230476,0.000230476
88,5438.75,1.64066,1.21871,0.9599,0.57416,0.47812,0.5027,0.34846,1.62948,1.28034,0.98496,0.000224556,0.000224556,0.000224556
89,5499.91,1.67028,1.21464,0.96517,0.54816,0.4987,0.51275,0.35106,1.63355,1.25154,0.98249,0.000218668,0.000218668,0.000218668
90,5561.37,1.64333,1.21529,0.96075,0.54755,0.47253,0.50206,0.34508,1.62837,1.27248,0.98202,0.000212814,0.000212814,0.000212814
